# x y u_computed u_exact error
0.00000000 0.00000000 1.00000000 1.00000000 0.00000000
0.01639344 0.00000000 1.01652781 1.01652781 0.00000000
0.03278689 0.00000000 1.03332423 1.03332423 0.00000000
0.04918033 0.00000000 1.05038893 1.05038893 0.00000000
0.06557377 0.00000000 1.06772134 1.06772134 0.00000000
0.08196721 0.00000000 1.08532063 1.08532063 0.00000000
0.09836066 0.00000000 1.10318575 1.10318575 0.00000000
0.11475410 0.00000000 1.12131534 1.12131534 0.00000000
0.13114754 0.00000000 1.13970780 1.13970780 0.00000000
0.14754098 0.00000000 1.15836124 1.15836124 0.00000000
0.16393443 0.00000000 1.17727346 1.17727346 0.00000000
0.18032787 0.00000000 1.19644198 1.19644198 0.00000000
0.19672131 0.00000000 1.21586400 1.21586400 0.00000000
0.21311475 0.00000000 1.23553640 1.23553640 0.00000000
0.22950820 0.00000000 1.25545574 1.25545574 0.00000000
0.24590164 0.00000000 1.27561822 1.27561822 0.00000000
0.26229508 0.00000000 1.29601972 1.29601972 0.00000000
0.27868852 0.00000000 1.31665577 1.31665577 0.00000000
0.29508197 0.00000000 1.33752150 1.33752150 0.00000000
0.31147541 0.00000000 1.35861172 1.35861172 0.00000000
0.32786885 0.00000000 1.37992084 1.37992084 0.00000000
0.34426230 0.00000000 1.40144290 1.40144290 0.00000000
0.36065574 0.00000000 1.42317154 1.42317154 0.00000000
0.37704918 0.00000000 1.44510002 1.44510002 0.00000000
0.39344262 0.00000000 1.46722120 1.46722120 0.00000000
0.40983607 0.00000000 1.48952753 1.48952753 0.00000000
0.42622951 0.00000000 1.51201107 1.51201107 0.00000000
0.44262295 0.00000000 1.53466347 1.53466347 0.00000000
0.45901639 0.00000000 1.55747595 1.55747595 0.00000000
0.47540984 0.00000000 1.58043934 1.58043934 0.00000000
0.49180328 0.00000000 1.60354406 1.60354406 0.00000000
0.50819672 0.00000000 1.62678008 1.62678008 0.00000000
0.52459016 0.00000000 1.65013701 1.65013701 0.00000000
0.54098361 0.00000000 1.67360401 1.67360401 0.00000000
0.55737705 0.00000000 1.69716984 1.69716984 0.00000000
0.57377049 0.00000000 1.72082286 1.72082286 0.00000000
0.59016393 0.00000000 1.74455103 1.74455103 0.00000000
0.60655738 0.00000000 1.76834191 1.76834191 0.00000000
0.62295082 0.00000000 1.79218265 1.79218265 0.00000000
0.63934426 0.00000000 1.81606005 1.81606005 0.00000000
0.65573770 0.00000000 1.83996052 1.83996052 0.00000000
0.67213115 0.00000000 1.86387008 1.86387008 0.00000000
0.68852459 0.00000000 1.88777443 1.88777443 0.00000000
0.70491803 0.00000000 1.91165890 1.91165890 0.00000000
0.72131148 0.00000000 1.93550849 1.93550849 0.00000000
0.73770492 0.00000000 1.95930789 1.95930789 0.00000000
0.75409836 0.00000000 1.98304145 1.98304145 0.00000000
0.77049180 0.00000000 2.00669326 2.00669326 0.00000000
0.78688525 0.00000000 2.03024713 2.03024713 0.00000000
0.80327869 0.00000000 2.05368659 2.05368659 0.00000000
0.81967213 0.00000000 2.07699495 2.07699495 0.00000000
0.83606557 0.00000000 2.10015527 2.10015527 0.00000000
0.85245902 0.00000000 2.12315044 2.12315044 0.00000000
0.86885246 0.00000000 2.14596314 2.14596314 0.00000000
0.88524590 0.00000000 2.16857591 2.16857591 0.00000000
0.90163934 0.00000000 2.19097114 2.19097114 0.00000000
0.91803279 0.00000000 2.21313111 2.21313111 0.00000000
0.93442623 0.00000000 2.23503800 2.23503800 0.00000000
0.95081967 0.00000000 2.25667394 2.25667394 0.00000000
0.96721311 0.00000000 2.27802101 2.27802101 0.00000000
0.98360656 0.00000000 2.29906128 2.29906128 0.00000000
1.00000000 0.00000000 2.31977682 2.31977682 0.00000000
0.00000000 0.01639344 1.01652855 1.01652855 0.00000000
