# x y u_computed u_exact error
0.00000000 0.00000000 1.00000000 1.00000000 0.00000000
0.25000000 0.00000000 1.28069636 1.28069636 0.00000000
0.50000000 0.00000000 1.61514630 1.61514630 0.00000000
0.75000000 0.00000000 1.97711510 1.97711510 0.00000000
1.00000000 0.00000000 2.31977682 2.31977682 0.00000000
0.00000000 0.25000000 1.28402542 1.28402542 0.00000000
0.25000000 0.25000000 1.67117292 1.64444667 0.02672625
0.50000000 0.25000000 2.13361852 2.07388890 0.05972962
0.75000000 0.25000000 0.93138397 2.53866604 1.60728206
1.00000000 0.25000000 2.97865240 2.97865240 0.00000000
0.00000000 0.50000000 1.64872127 1.64872127 0.00000000
0.25000000 0.50000000 2.16018866 2.11151133 0.04867733
0.75000000 0.50000000 -3.22839170 3.25971171 6.48810341
1.00000000 0.50000000 3.82466539 3.82466539 0.00000000
0.00000000 0.75000000 2.11700002 2.11700002 0.00000000
0.25000000 0.75000000 0.98406662 2.71123421 1.72716759
0.50000000 0.75000000 -3.53560664 3.41926474 6.95487138
0.75000000 0.75000000 0.82449802 4.18555269 3.36105467
1.00000000 0.75000000 4.91096758 4.91096758 0.00000000
0.00000000 1.00000000 2.71828183 2.71828183 0.00000000
0.25000000 1.00000000 3.48129364 3.48129364 0.00000000
0.50000000 1.00000000 4.39042283 4.39042283 0.00000000
0.75000000 1.00000000 5.37435604 5.37435604 0.00000000
1.00000000 1.00000000 6.30580719 6.30580719 0.00000000
