# x y u_computed u_exact error
0.03030303 0.03030303 0.00058014 0.00086346 0.00028332
0.06060606 0.03030303 0.00110632 0.00167296 0.00056664
0.09090909 0.03030303 0.00157865 0.00242849 0.00084984
0.12121212 0.03030303 0.00199751 0.00313006 0.00113255
0.15151515 0.03030303 0.00236362 0.00377765 0.00141403
0.18181818 0.03030303 0.00267823 0.00437129 0.00169306
0.21212121 0.03030303 0.00294315 0.00491095 0.00196780
0.24242424 0.03030303 0.00316096 0.00539665 0.00223569
0.27272727 0.03030303 0.00333502 0.00582838 0.00249336
0.30303030 0.03030303 0.00346956 0.00620615 0.00273659
0.33333333 0.03030303 0.00356961 0.00652995 0.00296034
0.36363636 0.03030303 0.00364070 0.00679978 0.00315907
0.39393939 0.03030303 0.00368839 0.00701564 0.00332726
0.42424242 0.03030303 0.00371766 0.00717754 0.00345988
0.45454545 0.03030303 0.00373301 0.00728548 0.00355247
0.48484848 0.03030303 0.00373903 0.00733944 0.00360042
0.51515152 0.03030303 0.00373903 0.00733944 0.00360042
0.54545455 0.03030303 0.00373301 0.00728548 0.00355247
0.57575758 0.03030303 0.00371766 0.00717754 0.00345988
0.60606061 0.03030303 0.00368839 0.00701564 0.00332726
0.63636364 0.03030303 0.00364070 0.00679978 0.00315907
0.66666667 0.03030303 0.00356961 0.00652995 0.00296034
0.69696970 0.03030303 0.00346956 0.00620615 0.00273659
0.72727273 0.03030303 0.00333502 0.00582838 0.00249336
0.75757576 0.03030303 0.00316096 0.00539665 0.00223569
0.78787879 0.03030303 0.00294315 0.00491095 0.00196780
0.81818182 0.03030303 0.00267823 0.00437129 0.00169306
0.84848485 0.03030303 0.00236362 0.00377765 0.00141403
0.87878788 0.03030303 0.00199751 0.00313006 0.00113255
0.90909091 0.03030303 0.00157865 0.00242849 0.00084984
0.93939394 0.03030303 0.00110632 0.00167296 0.00056664
0.96969697 0.03030303 0.00058014 0.00086346 0.00028332
0.03030303 0.06060606 0.00110632 0.00167296 0.00056664
0.06060606 0.06060606 0.00210795 0.00324136 0.00113341
0.09090909 0.06060606 0.00300503 0.00470520 0.00170017
0.12121212 0.06060606 0.00379816 0.00606448 0.00226633
0.15151515 0.06060606 0.00448869 0.00731921 0.00283051
0.18181818 0.06060606 0.00507896 0.00846937 0.00339040
0.21212121 0.06060606 0.00557253 0.00951497 0.00394244
0.24242424 0.06060606 0.00597441 0.01045601 0.00448160
0.27272727 0.06060606 0.00629131 0.01129249 0.00500118
0.30303030 0.06060606 0.00653177 0.01202441 0.00549264
0.33333333 0.06060606 0.00670609 0.01265177 0.00594568
0.36363636 0.06060606 0.00682587 0.01317457 0.00634870
0.39393939 0.06060606 0.00690274 0.01359281 0.00669007
0.42424242 0.06060606 0.00694669 0.01390649 0.00695980
0.45454545 0.06060606 0.00696604 0.01411561 0.00714958
0.48484848 0.06060606 0.00697139 0.01422017 0.00724878
0.51515152 0.06060606 0.00697139 0.01422017 0.00724878
0.54545455 0.06060606 0.00696604 0.01411561 0.00714958
0.57575758 0.06060606 0.00694669 0.01390649 0.00695980
0.60606061 0.06060606 0.00690274 0.01359281 0.00669007
0.63636364 0.06060606 0.00682587 0.01317457 0.00634870
0.66666667 0.06060606 0.00670609 0.01265177 0.00594568
0.69696970 0.06060606 0.00653177 0.01202441 0.00549264
0.72727273 0.06060606 0.00629131 0.01129249 0.00500118
0.75757576 0.06060606 0.00597441 0.01045601 0.00448160
0.78787879 0.06060606 0.00557253 0.00951497 0.00394244
0.81818182 0.06060606 0.00507896 0.00846937 0.00339040
0.84848485 0.06060606 0.00448869 0.00731921 0.00283051
0.87878788 0.06060606 0.00379816 0.00606448 0.00226633
0.90909091 0.06060606 0.00300503 0.00470520 0.00170017
0.93939394 0.06060606 0.00210795 0.00324136 0.00113341
0.96969697 0.06060606 0.00110632 0.00167296 0.00056664
0.03030303 0.09090909 0.00157865 0.00242849 0.00084984
0.06060606 0.09090909 0.00300503 0.00470520 0.00170017
0.09090909 0.09090909 0.00427901 0.00683013 0.00255112
0.12121212 0.09090909 0.00540122 0.00880328 0.00340207
0.15151515 0.09090909 0.00637336 0.01062465 0.00425129
0.18181818 0.09090909 0.00719864 0.01229424 0.00509560
0.21212121 0.09090909 0.00788209 0.01381205 0.00592996
0.24242424 0.09090909 0.00843099 0.01517808 0.00674709
0.27272727 0.09090909 0.00885522 0.01639232 0.00753711
0.30303030 0.09090909 0.00916766 0.01745479 0.00828713
0.33333333 0.09090909 0.00938443 0.01836547 0.00898105
0.36363636 0.09090909 0.00952438 0.01912438 0.00959999
0.39393939 0.09090909 0.00960698 0.01973150 0.01012452
0.42424242 0.09090909 0.00964718 0.02018684 0.01053966
0.45454545 0.09090909 0.00965315 0.02049040 0.01083726
0.48484848 0.09090909 0.00964584 0.02064218 0.01099635
0.51515152 0.09090909 0.00964584 0.02064218 0.01099635
0.54545455 0.09090909 0.00965315 0.02049040 0.01083726
0.57575758 0.09090909 0.00964718 0.02018684 0.01053966
0.60606061 0.09090909 0.00960698 0.01973150 0.01012452
0.63636364 0.09090909 0.00952438 0.01912438 0.00959999
0.66666667 0.09090909 0.00938443 0.01836547 0.00898105
0.69696970 0.09090909 0.00916766 0.01745479 0.00828713
0.72727273 0.09090909 0.00885522 0.01639232 0.00753711
0.75757576 0.09090909 0.00843099 0.01517808 0.00674709
0.78787879 0.09090909 0.00788209 0.01381205 0.00592996
0.81818182 0.09090909 0.00719864 0.01229424 0.00509560
0.84848485 0.09090909 0.00637336 0.01062465 0.00425129
0.87878788 0.09090909 0.00540122 0.00880328 0.00340207
0.90909091 0.09090909 0.00427901 0.00683013 0.00255112
0.93939394 0.09090909 0.00300503 0.00470520 0.00170017
0.96969697 0.09090909 0.00157865 0.00242849 0.00084984
0.03030303 0.12121212 0.00199751 0.00313006 0.00113255
0.06060606 0.12121212 0.00379816 0.00606448 0.00226633
0.09090909 0.12121212 0.00540122 0.00880328 0.00340207
0.12121212 0.12121212 0.00680693 0.01134646 0.00453953
0.15151515 0.12121212 0.00801701 0.01369400 0.00567699
0.18181818 0.12121212 0.00903515 0.01584591 0.00681076
0.21212121 0.12121212 0.00986750 0.01780220 0.00793470
0.24242424 0.12121212 0.01052317 0.01956285 0.00903969
0.27272727 0.12121212 0.01101485 0.02112788 0.01011303
0.30303030 0.12121212 0.01135958 0.02249728 0.01113771
0.33333333 0.12121212 0.01157967 0.02367105 0.01209138
0.36363636 0.12121212 0.01170350 0.02464920 0.01294570
0.39393939 0.12121212 0.01176334 0.02543171 0.01366837
0.42424242 0.12121212 0.01178152 0.02601860 0.01423708
0.45454545 0.12121212 0.01174642 0.02640985 0.01466343
0.48484848 0.12121212 0.01170247 0.02660548 0.01490301
0.51515152 0.12121212 0.01170247 0.02660548 0.01490301
0.54545455 0.12121212 0.01174642 0.02640985 0.01466343
0.57575758 0.12121212 0.01178152 0.02601860 0.01423708
0.60606061 0.12121212 0.01176334 0.02543171 0.01366837
0.63636364 0.12121212 0.01170350 0.02464920 0.01294570
0.66666667 0.12121212 0.01157967 0.02367105 0.01209138
0.69696970 0.12121212 0.01135958 0.02249728 0.01113771
0.72727273 0.12121212 0.01101485 0.02112788 0.01011303
0.75757576 0.12121212 0.01052317 0.01956285 0.00903969
0.78787879 0.12121212 0.00986750 0.01780220 0.00793470
0.81818182 0.12121212 0.00903515 0.01584591 0.00681076
0.84848485 0.12121212 0.00801701 0.01369400 0.00567699
0.87878788 0.12121212 0.00680693 0.01134646 0.00453953
0.90909091 0.12121212 0.00540122 0.00880328 0.00340207
0.93939394 0.12121212 0.00379816 0.00606448 0.00226633
0.96969697 0.12121212 0.00199751 0.00313006 0.00113255
0.03030303 0.15151515 0.00236362 0.00377765 0.00141403
0.06060606 0.15151515 0.00448869 0.00731921 0.00283051
0.09090909 0.15151515 0.00637336 0.01062465 0.00425129
0.12121212 0.15151515 0.00801701 0.01369400 0.00567699
0.15151515 0.15151515 0.00942087 0.01652724 0.00710637
0.18181818 0.15151515 0.01058863 0.01912438 0.00853575
0.21212121 0.15151515 0.01152701 0.02148541 0.00995840
0.24242424 0.15151515 0.01224641 0.02361034 0.01136393
0.27272727 0.15151515 0.01276154 0.02549917 0.01273763
0.30303030 0.15151515 0.01309261 0.02715189 0.01405929
0.33333333 0.15151515 0.01326743 0.02856851 0.01530108
0.36363636 0.15151515 0.01332599 0.02974903 0.01642304
0.39393939 0.15151515 0.01332727 0.03069344 0.01736618
0.42424242 0.15151515 0.01332491 0.03140175 0.01807685
0.45454545 0.15151515 0.01319757 0.03187396 0.01867639
0.48484848 0.15151515 0.01306082 0.03211006 0.01904925
0.51515152 0.15151515 0.01306082 0.03211006 0.01904925
0.54545455 0.15151515 0.01319757 0.03187396 0.01867639
0.57575758 0.15151515 0.01332491 0.03140175 0.01807685
0.60606061 0.15151515 0.01332727 0.03069344 0.01736618
0.63636364 0.15151515 0.01332599 0.02974903 0.01642304
0.66666667 0.15151515 0.01326743 0.02856851 0.01530108
0.69696970 0.15151515 0.01309261 0.02715189 0.01405929
0.72727273 0.15151515 0.01276154 0.02549917 0.01273763
0.75757576 0.15151515 0.01224641 0.02361034 0.01136393
0.78787879 0.15151515 0.01152701 0.02148541 0.00995840
0.81818182 0.15151515 0.01058863 0.01912438 0.00853575
0.84848485 0.15151515 0.00942087 0.01652724 0.00710637
0.87878788 0.15151515 0.00801701 0.01369400 0.00567699
