# x y u_computed u_exact error
0.00000000 0.00000000 1.00000000 1.00000000 0.00000000
0.01960784 0.00000000 1.01980006 1.01980006 0.00000000
0.03921569 0.00000000 1.03998432 1.03998432 0.00000000
0.05882353 0.00000000 1.06055209 1.06055209 0.00000000
0.07843137 0.00000000 1.08150218 1.08150218 0.00000000
0.09803922 0.00000000 1.10283291 1.10283291 0.00000000
0.11764706 0.00000000 1.12454202 1.12454202 0.00000000
0.13725490 0.00000000 1.14662673 1.14662673 0.00000000
0.15686275 0.00000000 1.16908366 1.16908366 0.00000000
0.17647059 0.00000000 1.19190882 1.19190882 0.00000000
0.19607843 0.00000000 1.21509761 1.21509761 0.00000000
0.21568627 0.00000000 1.23864477 1.23864477 0.00000000
0.23529412 0.00000000 1.26254435 1.26254435 0.00000000
0.25490196 0.00000000 1.28678973 1.28678973 0.00000000
0.27450980 0.00000000 1.31137359 1.31137359 0.00000000
0.29411765 0.00000000 1.33628784 1.33628784 0.00000000
0.31372549 0.00000000 1.36152367 1.36152367 0.00000000
0.33333333 0.00000000 1.38707151 1.38707151 0.00000000
0.35294118 0.00000000 1.41292098 1.41292098 0.00000000
0.37254902 0.00000000 1.43906094 1.43906094 0.00000000
0.39215686 0.00000000 1.46547941 1.46547941 0.00000000
0.41176471 0.00000000 1.49216361 1.49216361 0.00000000
0.43137255 0.00000000 1.51909993 1.51909993 0.00000000
0.45098039 0.00000000 1.54627392 1.54627392 0.00000000
0.47058824 0.00000000 1.57367030 1.57367030 0.00000000
0.49019608 0.00000000 1.60127292 1.60127292 0.00000000
0.50980392 0.00000000 1.62906481 1.62906481 0.00000000
0.52941176 0.00000000 1.65702814 1.65702814 0.00000000
0.54901961 0.00000000 1.68514425 1.68514425 0.00000000
0.56862745 0.00000000 1.71339364 1.71339364 0.00000000
0.58823529 0.00000000 1.74175599 1.74175599 0.00000000
0.60784314 0.00000000 1.77021014 1.77021014 0.00000000
0.62745098 0.00000000 1.79873415 1.79873415 0.00000000
0.64705882 0.00000000 1.82730530 1.82730530 0.00000000
0.66666667 0.00000000 1.85590009 1.85590009 0.00000000
