# x y u_computed u_exact error
0.00000000 0.72727273 2.06942901 2.06942901 0.00000000
0.09090909 0.72727273 2.51295829 2.26609175 0.24686655
0.18181818 0.72727273 2.99932865 2.47958402 0.51974463
0.27272727 0.72727273 3.55499421 2.70914107 0.84585314
0.36363636 0.72727273 4.19689180 2.95337294 1.24351887
0.45454545 0.72727273 4.85106498 3.21017899 1.64088599
0.54545455 0.72727273 4.85818404 3.47668571 1.38149833
0.63636364 0.72727273 4.72314648 3.74921886 0.97392761
0.72727273 0.72727273 4.66984556 4.02332064 0.64652492
0.81818182 0.72727273 4.68729992 4.29382072 0.39347920
0.90909091 0.72727273 4.74115108 4.55496656 0.18618452
1.00000000 0.72727273 4.80061345 4.80061345 0.00000000
0.00000000 0.81818182 2.26637541 2.26637541 0.00000000
0.09090909 0.81818182 2.65567281 2.48175443 0.17391837
0.18181818 0.81818182 3.07548598 2.71556464 0.35992134
0.27272727 0.81818182 3.53123529 2.96696850 0.56426679
0.36363636 0.81818182 4.00739065 3.23444378 0.77294687
0.45454545 0.81818182 4.43217932 3.51568992 0.91648940
0.54545455 0.81818182 4.64076185 3.80755994 0.83320190
0.63636364 0.81818182 4.74899016 4.10602992 0.64296024
0.72727273 0.81818182 4.85545410 4.40621781 0.44923629
0.81818182 0.81818182 4.98270394 4.70246123 0.28024271
0.90909091 0.81818182 5.12246313 4.98846018 0.13400295
1.00000000 0.81818182 5.25748514 5.25748514 0.00000000
0.00000000 0.90909091 2.48206508 2.48206508 0.00000000
0.09090909 0.90909091 2.80686122 2.71794161 0.08891961
0.18181818 0.90909091 3.15580072 2.97400340 0.18179732
0.27272727 0.90909091 3.52772729 3.24933323 0.27839406
0.36363636 0.90909091 3.90982894 3.54226399 0.36756496
0.45454545 0.90909091 4.26925261 3.85027617 0.41897645
0.54545455 0.90909091 4.56183343 4.16992329 0.39191014
0.63636364 0.90909091 4.81231600 4.49679849 0.31551751
0.72727273 0.90909091 5.05280118 4.82555509 0.22724609
0.81818182 0.90909091 5.29425393 5.14999183 0.14426210
0.90909091 0.90909091 5.53277934 5.46320914 0.06957020
1.00000000 0.90909091 5.75783706 5.75783706 0.00000000
0.00000000 1.00000000 2.71828183 2.71828183 0.00000000
0.09090909 1.00000000 2.97660659 2.97660659 0.00000000
0.18181818 1.00000000 3.25703764 3.25703764 0.00000000
0.27272727 1.00000000 3.55857046 3.55857046 0.00000000
0.36363636 1.00000000 3.87937927 3.87937927 0.00000000
0.45454545 1.00000000 4.21670479 4.21670479 0.00000000
0.54545455 1.00000000 4.56677256 4.56677256 0.00000000
0.63636364 1.00000000 4.92475628 4.92475628 0.00000000
0.72727273 1.00000000 5.28480046 5.28480046 0.00000000
0.81818182 1.00000000 5.64011367 5.64011367 0.00000000
0.90909091 1.00000000 5.98313970 5.98313970 0.00000000
1.00000000 1.00000000 6.30580719 6.30580719 0.00000000
