# x y u_computed u_exact error
0.00000000 0.00000000 1.00000000 1.00000000 0.00000000
0.02439024 0.00000000 1.02470111 1.02468764 0.00001347
0.04878049 0.00000000 1.04999479 1.04996953 0.00002526
0.07317073 0.00000000 1.07588027 1.07584399 0.00003628
0.09756098 0.00000000 1.10235498 1.10230813 0.00004685
0.12195122 0.00000000 1.12941496 1.12935781 0.00005715
0.14634146 0.00000000 1.15705482 1.15698755 0.00006727
0.17073171 0.00000000 1.18526771 1.18519043 0.00007728
0.19512195 0.00000000 1.21404532 1.21395809 0.00008722
0.21951220 0.00000000 1.24337778 1.24328062 0.00009715
0.24390244 0.00000000 1.27325359 1.27314650 0.00010709
0.26829268 0.00000000 1.30365961 1.30354254 0.00011707
0.29268293 0.00000000 1.33458094 1.33445383 0.00012712
0.31707317 0.00000000 1.36600093 1.36586369 0.00013724
0.34146341 0.00000000 1.39790107 1.39775360 0.00014747
0.36585366 0.00000000 1.43026098 1.43010317 0.00015782
0.39024390 0.00000000 1.46305838 1.46289009 0.00016829
0.41463415 0.00000000 1.49626900 1.49609010 0.00017890
0.43902439 0.00000000 1.52986662 1.52967696 0.00018966
0.46341463 0.00000000 1.56382301 1.56362244 0.00020057
0.48780488 0.00000000 1.59810790 1.59789626 0.00021164
0.51219512 0.00000000 1.63268902 1.63246615 0.00022287
0.53658537 0.00000000 1.66753207 1.66729781 0.00023426
0.56097561 0.00000000 1.70260072 1.70235491 0.00024580
0.58536585 0.00000000 1.73785665 1.73759915 0.00025750
0.60975610 0.00000000 1.77325959 1.77299025 0.00026934
0.63414634 0.00000000 1.80876734 1.80848602 0.00028132
0.65853659 0.00000000 1.84433581 1.84404238 0.00029342
0.68292683 0.00000000 1.87991909 1.87961346 0.00030563
0.70731707 0.00000000 1.91546956 1.91515163 0.00031793
0.73170732 0.00000000 1.95093789 1.95060760 0.00033030
0.75609756 0.00000000 1.98627323 1.98593052 0.00034271
0.78048780 0.00000000 2.02142322 2.02106808 0.00035514
0.80487805 0.00000000 2.05633417 2.05596662 0.00036755
0.82926829 0.00000000 2.09095118 2.09057127 0.00037991
0.85365854 0.00000000 2.12521824 2.12482606 0.00039218
