# x y u_computed u_exact error
0.00000000 0.00000000 1.00000000 1.00000000 0.00000000
0.16666667 0.00000000 1.18045049 1.18045049 0.00000000
0.33333333 0.00000000 1.38707151 1.38707151 0.00000000
0.50000000 0.00000000 1.61514630 1.61514630 0.00000000
0.66666667 0.00000000 1.85590009 1.85590009 0.00000000
0.83333333 0.00000000 2.09630622 2.09630622 0.00000000
1.00000000 0.00000000 2.31977682 2.31977682 0.00000000
0.00000000 0.16666667 1.18136041 1.18136041 0.00000000
0.16666667 0.16666667 1.39424864 1.39453747 0.00028883
0.33333333 0.16666667 1.63818057 1.63863137 0.00045080
0.50000000 0.16666667 1.90759163 1.90806990 0.00047827
0.66666667 0.16666667 2.19211450 2.19248690 0.00037239
0.83333333 0.16666667 2.47631806 2.47649318 0.00017512
1.00000000 0.16666667 2.74049251 2.74049251 0.00000000
0.00000000 0.33333333 1.39561243 1.39561243 0.00000000
0.16666667 0.33333333 1.64698494 1.64745136 0.00046643
0.33333333 0.33333333 1.93507955 1.93581423 0.00073468
0.50000000 0.33333333 2.25333609 2.25411824 0.00078215
0.66666667 0.33333333 2.58950491 2.59011723 0.00061232
0.83333333 0.33333333 2.92533590 2.92563101 0.00029511
1.00000000 0.33333333 3.23750936 3.23750936 0.00000000
0.00000000 0.50000000 1.64872127 1.64872127 0.00000000
0.16666667 0.50000000 1.94567293 1.94623382 0.00056089
0.33333333 0.50000000 2.28601103 2.28689430 0.00088327
0.50000000 0.50000000 2.66198628 2.66292605 0.00093978
0.66666667 0.50000000 3.05912682 3.05986196 0.00073513
0.83333333 0.50000000 3.45587059 3.45622466 0.00035406
1.00000000 0.50000000 3.82466539 3.82466539 0.00000000
0.00000000 0.66666667 1.94773404 1.94773404 0.00000000
0.16666667 0.66666667 2.29864203 2.29920359 0.00056157
0.33333333 0.66666667 2.70076931 2.70164640 0.00087708
0.50000000 0.66666667 3.14494635 3.14587542 0.00092907
0.66666667 0.66666667 3.61407785 3.61479979 0.00072194
0.83333333 0.66666667 4.08270698 4.08304699 0.00034000
1.00000000 0.66666667 4.51830829 4.51830829 0.00000000
0.00000000 0.83333333 2.30097589 2.30097589 0.00000000
0.16666667 0.83333333 2.71577240 2.71618811 0.00041571
0.33333333 0.83333333 3.19098061 3.19161810 0.00063749
0.50000000 0.83333333 3.71574259 3.71641269 0.00067010
0.66666667 0.83333333 4.26986693 4.27038137 0.00051444
0.83333333 0.83333333 4.82332041 4.82355007 0.00022966
1.00000000 0.83333333 5.33775055 5.33775055 0.00000000
0.00000000 1.00000000 2.71828183 2.71828183 0.00000000
0.16666667 1.00000000 3.20879710 3.20879710 0.00000000
0.33333333 1.00000000 3.77045128 3.77045128 0.00000000
0.50000000 1.00000000 4.39042283 4.39042283 0.00000000
0.66666667 1.00000000 5.04485949 5.04485949 0.00000000
0.83333333 1.00000000 5.69835111 5.69835111 0.00000000
1.00000000 1.00000000 6.30580719 6.30580719 0.00000000
