# x y u_computed u_exact error
0.00000000 0.00000000 1.00000000 1.00000000 0.00000000
0.03225806 0.00000000 1.03277822 1.03277822 0.00000000
0.06451613 0.00000000 1.06659505 1.06659505 0.00000000
0.09677419 0.00000000 1.10144528 1.10144528 0.00000000
0.12903226 0.00000000 1.13731987 1.13731987 0.00000000
0.16129032 0.00000000 1.17420570 1.17420570 0.00000000
0.19354839 0.00000000 1.21208526 1.21208526 0.00000000
0.22580645 0.00000000 1.25093643 1.25093643 0.00000000
0.25806452 0.00000000 1.29073218 1.29073218 0.00000000
0.29032258 0.00000000 1.33144034 1.33144034 0.00000000
0.32258065 0.00000000 1.37302337 1.37302337 0.00000000
0.35483871 0.00000000 1.41543815 1.41543815 0.00000000
0.38709677 0.00000000 1.45863577 1.45863577 0.00000000
0.41935484 0.00000000 1.50256144 1.50256144 0.00000000
0.45161290 0.00000000 1.54715429 1.54715429 0.00000000
0.48387097 0.00000000 1.59234733 1.59234733 0.00000000
0.51612903 0.00000000 1.63806739 1.63806739 0.00000000
0.54838710 0.00000000 1.68423509 1.68423509 0.00000000
0.58064516 0.00000000 1.73076495 1.73076495 0.00000000
0.61290323 0.00000000 1.77756538 1.77756538 0.00000000
0.64516129 0.00000000 1.82453894 1.82453894 0.00000000
0.67741935 0.00000000 1.87158243 1.87158243 0.00000000
0.70967742 0.00000000 1.91858724 1.91858724 0.00000000
0.74193548 0.00000000 1.96543961 1.96543961 0.00000000
0.77419355 0.00000000 2.01202102 2.01202102 0.00000000
0.80645161 0.00000000 2.05820864 2.05820864 0.00000000
0.83870968 0.00000000 2.10387579 2.10387579 0.00000000
0.87096774 0.00000000 2.14889252 2.14889252 0.00000000
0.90322581 0.00000000 2.19312622 2.19312622 0.00000000
0.93548387 0.00000000 2.23644224 2.23644224 0.00000000
0.96774194 0.00000000 2.27870461 2.27870461 0.00000000
1.00000000 0.00000000 2.31977682 2.31977682 0.00000000
0.00000000 0.03225806 1.03278400 1.03278400 0.00000000
0.03225806 0.03225806 1.05851544 1.06663681 0.00812137
0.06451613 0.03225806 1.08532173 1.10156230 0.01624057
0.09677419 0.03225806 1.11319967 1.13755506 0.02435540
0.12903226 0.03225806 1.14214244 1.17460576 0.03246333
0.16129032 0.03225806 1.17213947 1.21270085 0.04056138
0.19354839 0.03225806 1.20317642 1.25182226 0.04864584
0.22580645 0.03225806 1.23523538 1.29194712 0.05671174
0.25806452 0.03225806 1.26829580 1.33304754 0.06475174
0.29032258 0.03225806 1.30233622 1.37509028 0.07275406
0.32258065 0.03225806 1.33733767 1.41803657 0.08069889
0.35483871 0.03225806 1.37328900 1.46184186 0.08855287
0.38709677 0.03225806 1.41019490 1.50645568 0.09626079
0.41935484 0.03225806 1.44808729 1.55182141 0.10373411
0.45161290 0.03225806 1.48704086 1.59787619 0.11083533
0.48387097 0.03225806 1.52719248 1.64455084 0.11735835
0.51612903 0.03225806 1.56875980 1.69176978 0.12300998
0.54838710 0.03225806 1.61204421 1.73945105 0.12740684
0.58064516 0.03225806 1.65739574 1.78750634 0.13011060
0.61290323 0.03225806 1.70513100 1.83584108 0.13071008
0.64516129 0.03225806 1.75543281 1.88435461 0.12892181
0.67741935 0.03225806 1.80828612 1.93294038 0.12465426
0.70967742 0.03225806 1.86347609 1.98148620 0.11801011
0.74193548 0.03225806 1.92063489 2.02987458 0.10923969
0.77419355 0.03225806 1.97930738 2.07798311 0.09867574
0.80645161 0.03225806 2.03901136 2.12568494 0.08667358
0.83870968 0.03225806 2.09928062 2.17284925 0.07356863
0.87096774 0.03225806 2.15968906 2.21934181 0.05965275
0.90322581 0.03225806 2.21985955 2.26502566 0.04516611
0.93548387 0.03225806 2.27946218 2.30976175 0.03029957
0.96774194 0.03225806 2.33820615 2.35340965 0.01520350
1.00000000 0.03225806 2.39582838 2.39582838 0.00000000
0.00000000 0.06451613 1.06664278 1.06664278 0.00000000
0.03225806 0.06451613 1.08536071 1.10160543 0.01624472
0.06451613 0.06451613 1.10519062 1.13767592 0.03248529
0.09677419 0.06451613 1.12613123 1.17484866 0.04871744
0.12903226 0.06451613 1.14817777 1.21311403 0.06493626
0.16129032 0.06451613 1.17132198 1.25245803 0.08113605
0.19354839 0.06451613 1.19555206 1.29286199 0.09730993
0.22580645 0.06451613 1.22085326 1.33430231 0.11344905
0.25806452 0.06451613 1.24720934 1.37675016 0.12954082
0.29032258 0.06451613 1.27460600 1.42017123 0.14556523
0.32258065 0.06451613 1.30303719 1.46452547 0.16148828
0.35483871 0.06451613 1.33251547 1.50976688 0.17725141
0.38709677 0.06451613 1.36308754 1.55584332 0.19275577
0.41935484 0.06451613 1.39485636 1.60269631 0.20783996
0.45161290 0.06451613 1.42801251 1.65026096 0.22224845
0.48387097 0.06451613 1.46287806 1.69846579 0.23558773
0.51612903 0.06451613 1.49995842 1.74723275 0.24727434
