# x y u_computed u_exact error
0.00000000 0.00000000 1.00000000 1.00000000 0.00000000
0.33333333 0.00000000 1.41839758 1.38707151 0.03132607
0.66666667 0.00000000 1.92074731 1.85590009 0.06484722
1.00000000 0.00000000 2.41826179 2.31977682 0.09848497
0.00000000 0.33333333 1.39561243 1.39561243 0.00000000
0.33333333 0.33333333 1.95943454 1.93581423 0.02362031
0.66666667 0.33333333 2.64482643 2.59011723 0.05470920
1.00000000 0.33333333 3.32929476 3.23750936 0.09178540
0.00000000 0.66666667 1.94773404 1.94773404 0.00000000
0.33333333 0.66666667 2.71567941 2.70164640 0.01403302
0.66666667 0.66666667 3.65740377 3.61479979 0.04260399
1.00000000 0.66666667 4.60514790 4.51830829 0.08683961
0.00000000 1.00000000 2.71828183 2.71828183 0.00000000
0.33333333 1.00000000 3.76815641 3.77045128 0.00229487
0.66666667 1.00000000 5.06530412 5.04485949 0.02044463
1.00000000 1.00000000 6.37513184 6.30580719 0.06932465
