# x y u_computed u_exact error
0.00000000 0.00000000 1.00000000 1.00000000 0.00000000
0.04761905 0.00000000 1.04875218 1.04875218 0.00000000
0.09523810 0.00000000 1.09976243 1.09976243 0.00000000
0.14285714 0.00000000 1.15300518 1.15300518 0.00000000
0.19047619 0.00000000 1.20843544 1.20843544 0.00000000
0.23809524 0.00000000 1.26598697 1.26598697 0.00000000
0.28571429 0.00000000 1.32557039 1.32557039 0.00000000
0.33333333 0.00000000 1.38707151 1.38707151 0.00000000
0.38095238 0.00000000 1.45034976 1.45034976 0.00000000
0.42857143 0.00000000 1.51523699 1.51523699 0.00000000
0.47619048 0.00000000 1.58153644 1.58153644 0.00000000
0.52380952 0.00000000 1.64902219 1.64902219 0.00000000
0.57142857 0.00000000 1.71743898 1.71743898 0.00000000
0.61904762 0.00000000 1.78650246 1.78650246 0.00000000
0.66666667 0.00000000 1.85590009 1.85590009 0.00000000
0.71428571 0.00000000 1.92529249 1.92529249 0.00000000
0.76190476 0.00000000 1.99431540 1.99431540 0.00000000
0.80952381 0.00000000 2.06258234 2.06258234 0.00000000
0.85714286 0.00000000 2.12968773 2.12968773 0.00000000
0.90476190 0.00000000 2.19521077 2.19521077 0.00000000
0.95238095 0.00000000 2.25871972 2.25871972 0.00000000
1.00000000 0.00000000 2.31977682 2.31977682 0.00000000
0.00000000 0.04761905 1.04877105 1.04877105 0.00000000
0.04761905 0.04761905 1.07459463 1.09990092 0.02530629
0.09523810 0.04761905 1.10280239 1.15339900 0.05059661
0.14285714 0.04761905 1.13337046 1.20923845 0.07586798
0.19047619 0.04761905 1.16623002 1.26737210 0.10114208
0.23809524 0.04761905 1.20126088 1.32773048 0.12646959
0.28571429 0.04761905 1.23831766 1.39021985 0.15190219
0.33333333 0.04761905 1.27734502 1.45472044 0.17737542
0.38095238 0.04761905 1.31872123 1.52108484 0.20236361
0.42857143 0.04761905 1.36407451 1.58913668 0.22506218
0.47619048 0.04761905 1.41722165 1.65866963 0.24144798
0.52380952 0.04761905 1.48186891 1.72944673 0.24757783
0.57142857 0.04761905 1.55863377 1.80120027 0.24256650
0.61904762 0.04761905 1.64468103 1.87363205 0.22895102
0.66666667 0.04761905 1.73641241 1.94641428 0.21000187
0.71428571 0.04761905 1.83201265 2.01919102 0.18717837
0.76190476 0.04761905 1.93048083 2.09158025 0.16109942
0.80952381 0.04761905 2.03093338 2.16317664 0.13224326
0.85714286 0.04761905 2.13242037 2.23355484 0.10113446
0.90476190 0.04761905 2.23393129 2.30227350 0.06834220
0.95238095 0.04761905 2.33443632 2.36887985 0.03444352
1.00000000 0.04761905 2.43291477 2.43291477 0.00000000
0.00000000 0.09523810 1.09992071 1.09992071 0.00000000
0.04761905 0.09523810 1.10291674 1.15354424 0.05062750
0.09523810 0.09523810 1.10844051 1.20965148 0.10121097
0.14285714 0.09523810 1.11648237 1.26821427 0.15173190
0.19047619 0.09523810 1.12695390 1.32918316 0.20222926
0.23809524 0.09523810 1.13965279 1.39248528 0.25283249
0.28571429 0.09523810 1.15426028 1.45802233 0.30376205
0.33333333 0.09523810 1.17043459 1.52566868 0.35523409
0.38095238 0.09523810 1.18825476 1.59526974 0.40701498
0.42857143 0.09523810 1.21020530 1.66664054 0.45643524
0.47619048 0.09523810 1.24641462 1.73956468 0.49315006
0.52380952 0.09523810 1.30749864 1.81379366 0.50629503
0.57142857 0.09523810 1.39531125 1.88904670 0.49373545
0.61904762 0.09523810 1.50177688 1.96501105 0.46323417
0.66666667 0.09523810 1.61746619 2.04134295 0.42387675
0.71428571 0.09523810 1.74005798 2.11766908 0.37761110
0.76190476 0.09523810 1.86861354 2.19358881 0.32497527
0.80952381 0.09523810 2.00193829 2.26867703 0.26673874
0.85714286 0.09523810 2.13853526 2.34248764 0.20395238
0.90476190 0.09523810 2.27676650 2.41455779 0.13779129
0.95238095 0.09523810 2.41497976 2.48441260 0.06943284
1.00000000 0.09523810 2.55157057 2.55157057 0.00000000
0.00000000 0.14285714 1.15356499 1.15356499 0.00000000
0.04761905 0.14285714 1.13381217 1.20980380 0.07599163
0.09523810 0.14285714 1.11676083 1.26864745 0.15188662
0.14285714 0.14285714 1.10244844 1.33006641 0.22761797
0.19047619 0.14285714 1.09079980 1.39400882 0.30320902
0.23809524 0.14285714 1.08153086 1.46039825 0.37886739
0.28571429 0.14285714 1.07405397 1.52913160 0.45507764
0.33333333 0.14285714 1.06729512 1.60007714 0.53278201
0.38095238 0.14285714 1.05904766 1.67307272 0.61402506
0.42857143 0.14285714 1.04741257 1.74792435 0.70051178
0.47619048 0.14285714 1.05598502 1.82440507 0.76842005
0.52380952 0.14285714 1.11153940 1.90225428 0.79071488
0.57142857 0.14285714 1.21833318 1.98117748 0.76284430
0.61904762 0.14285714 1.35447487 2.06084670 0.70637183
0.66666667 0.14285714 1.49624293 2.14090138 0.64465845
0.71428571 0.14285714 1.64653715 2.22095002 0.57441287
0.76190476 0.14285714 1.80612143 2.30057244 0.49445101
0.80952381 0.14285714 1.97353917 2.37932278 0.40578361
0.85714286 0.14285714 2.14658817 2.45673322 0.31014505
0.90476190 0.14285714 2.32288011 2.53231830 0.20943819
0.95238095 0.14285714 2.50008246 2.60558000 0.10549754
1.00000000 0.14285714 2.67601334 2.67601334 0.00000000
0.00000000 0.19047619 1.20982557 1.20982557 0.00000000
0.04761905 0.19047619 1.16735594 1.26880720 0.10145126
0.09523810 0.19047619 1.12779613 1.33052071 0.20272458
0.14285714 0.19047619 1.09129226 1.39493514 0.30364288
0.19047619 0.19047619 1.05787627 1.46199609 0.40411982
0.23809524 0.19047619 1.02727475 1.53162340 0.50434865
0.28571429 0.19047619 0.99881174 1.60370895 0.60489721
0.33333333 0.19047619 0.97132528 1.67811458 0.70678930
0.38095238 0.19047619 0.93888080 1.75467023 0.81578943
0.42857143 0.19047619 0.87000775 1.83317245 0.96316470
0.47619048 0.19047619 0.82408178 1.91338322 1.08930144
0.52380952 0.19047619 0.86973107 1.99502921 1.12529814
0.57142857 0.19047619 1.01724841 2.07780158 1.06055318
0.61904762 0.19047619 1.20660764 2.16135635 0.95474871
0.66666667 0.19047619 1.37134451 2.24531538 0.87397087
0.71428571 0.19047619 1.54833835 2.32926808 0.78092973
0.76190476 0.19047619 1.74014233 2.41277376 0.67263143
0.80952381 0.19047619 1.94356565 2.49536485 0.55179920
0.85714286 0.19047619 2.15514467 2.57655067 0.42140601
0.90476190 0.19047619 2.37150273 2.65582212 0.28431938
0.95238095 0.19047619 2.58953670 2.73265687 0.14312017
1.00000000 0.19047619 2.80652531 2.80652531 0.00000000
0.00000000 0.23809524 1.26883003 1.26883003 0.00000000
0.04761905 0.23809524 1.20360066 1.33068825 0.12708760
0.09523810 0.23809524 1.14149541 1.39541160 0.25391619
0.14285714 0.23809524 1.08286000 1.46296759 0.38010759
0.19047619 0.23809524 1.02802214 1.53329917 0.50527702
0.23809524 0.23809524 0.97681394 1.60632228 0.62950834
0.28571429 0.23809524 0.92855223 1.68192352 0.75337129
0.33333333 0.23809524 0.88627151 1.75995798 0.87368648
0.38095238 0.23809524 0.86107082 1.84024733 0.97917651
0.42857143 0.23809524 0.67552421 1.92257819 1.24705398
0.47619048 0.23809524 0.50638020 2.00670092 1.50032073
0.52380952 0.23809524 0.53170788 2.09232888 1.56062100
0.57142857 0.23809524 0.77981855 2.17913814 1.39931959
0.61904762 0.23809524 1.08867080 2.26676796 1.17809717
0.66666667 0.23809524 1.23927672 2.35482177 1.11554504
0.71428571 0.23809524 1.44016644 2.44286892 1.00270248
0.76190476 0.23809524 1.66710237 2.53044727 0.86334490
0.80952381 0.23809524 1.90969114 2.61706641 0.70737527
0.85714286 0.23809524 2.16285135 2.70221175 0.53936039
0.90476190 0.23809524 2.42203565 2.78534934 0.36331369
0.95238095 0.23809524 2.68326656 2.86593141 0.18266485
1.00000000 0.23809524 2.94340249 2.94340249 0.00000000
0.00000000 0.28571429 1.33071220 1.33071220 0.00000000
0.04761905 0.28571429 1.24260564 1.39558731 0.15298167
0.09523810 0.28571429 1.15772374 1.46346729 0.30574355
0.14285714 0.28571429 1.07672541 1.53431805 0.45759264
0.19047619 0.28571429 1.00070922 1.60807977 0.60737056
0.23809524 0.28571429 0.92962985 1.68466430 0.75503445
0.28571429 0.28571429 0.85856163 1.76395269 0.90539106
0.33333333 0.28571429 0.79038634 1.84579298 1.05540663
0.66666667 0.28571429 1.06226086 2.46966889 1.40740803
0.71428571 0.28571429 1.31102126 2.56201020 1.25098894
0.76190476 0.28571429 1.58319036 2.65385983 1.07066947
0.80952381 0.28571429 1.86970740 2.74470347 0.87499608
0.85714286 0.28571429 2.16865483 2.83400144 0.66534661
0.90476190 0.28571429 2.47428307 2.92119375 0.44691068
0.95238095 0.28571429 2.78147920 3.00570588 0.22422668
1.00000000 0.28571429 3.08695532 3.08695532 0.00000000
0.00000000 0.33333333 1.39561243 1.39561243 0.00000000
0.04761905 0.33333333 1.28455736 1.46365157 0.17909421
0.09523810 0.33333333 1.17635995 1.53484212 0.35848217
0.14285714 0.33333333 1.07200118 1.60914835 0.53714717
0.19047619 0.33333333 0.97493127 1.68650751 0.71157624
0.23809524 0.33333333 0.88896134 1.76682714 0.87786580
0.28571429 0.33333333 0.79223280 1.84998251 1.05774971
0.71428571 0.33333333 1.16378772 2.68696212 1.52317439
0.76190476 0.33333333 1.48994437 2.78329135 1.29334698
0.80952381 0.33333333 1.82197311 2.87856554 1.05659243
0.85714286 0.33333333 2.17209936 2.97221866 0.80011930
0.90476190 0.33333333 2.52890712 3.06366343 0.53475631
0.95238095 0.33333333 2.88496491 3.15229731 0.26733240
1.00000000 0.33333333 3.23750936 3.23750936 0.00000000
0.00000000 0.38095238 1.46367790 1.46367790 0.00000000
0.04761905 0.38095238 1.33012379 1.53503539 0.20491160
0.09523810 0.38095238 1.19775581 1.60969798 0.41194216
0.14285714 0.38095238 1.06669237 1.68762820 0.62093582
0.19047619 0.38095238 0.94484079 1.76876025 0.82391946
0.23809524 0.38095238 0.86589649 1.85299715 0.98710066
0.76190476 0.38095238 1.39608479 2.91903539 1.52295060
0.80952381 0.38095238 1.76104938 3.01895619 1.25790682
0.85714286 0.38095238 2.17339504 3.11717688 0.94378184
0.90476190 0.38095238 2.58841804 3.21308150 0.62466346
0.95238095 0.38095238 2.99569029 3.30603815 0.31034786
1.00000000 0.38095238 3.39540608 3.39540608 0.00000000
0.00000000 0.42857143 1.53506301 1.53506301 0.00000000
0.04761905 0.42857143 1.38129211 1.60990067 0.22860856
0.09523810 0.42857143 1.22476724 1.68820463 0.46343739
0.14285714 0.42857143 1.05920296 1.76993559 0.71073264
0.19047619 0.42857143 0.87896148 1.85502454 0.97606305
0.23809524 0.42857143 0.68200348 1.94336976 1.26136629
0.76190476 0.42857143 1.09836422 3.06139980 1.96303558
0.80952381 0.42857143 1.65789203 3.16619385 1.50830182
0.85714286 0.42857143 2.17676709 3.26920486 1.09243777
0.90476190 0.42857143 2.66001837 3.36978685 0.70976848
0.95238095 0.42857143 3.11788020 3.46727709 0.34939689
1.00000000 0.42857143 3.56100359 3.56100359 0.00000000
0.00000000 0.47619048 1.60992964 1.60992964 0.00000000
0.04761905 0.47619048 1.44233350 1.68841721 0.24608371
0.09523810 0.47619048 1.26807570 1.77054014 0.50246444
0.14285714 0.47619048 1.07376490 1.85625721 0.78249231
0.19047619 0.47619048 0.83726436 1.94549603 1.10823167
0.23809524 0.47619048 0.51397052 2.03814994 1.52417942
0.76190476 0.47619048 0.83133811 3.21070748 2.37936937
0.80952381 0.47619048 1.60078594 3.32061244 1.71982650
0.85714286 0.47619048 2.22074845 3.42864741 1.20789896
0.90476190 0.47619048 2.76155842 3.53413488 0.77257646
0.95238095 0.47619048 3.25890721 3.63637983 0.37747262
1.00000000 0.47619048 3.73467747 3.73467747 0.00000000
0.00000000 0.52380952 1.68844759 1.68844759 0.00000000
0.04761905 0.52380952 1.51750285 1.77076309 0.25326024
0.09523810 0.52380952 1.33904871 1.85689124 0.51784252
0.14285714 0.52380952 1.13825039 1.94678881 0.80853842
0.19047619 0.52380952 0.89019028 2.04037990 1.15018963
0.23809524 0.52380952 0.54332068 2.13755265 1.59423197
0.76190476 0.52380952 0.87884585 3.36729704 2.48845120
0.80952381 0.52380952 1.69882697 3.48256219 1.78373522
0.85714286 0.52380952 2.34911105 3.59586613 1.24675508
0.90476190 0.52380952 2.91133185 3.70649834 0.79516649
0.95238095 0.52380952 3.42581132 3.81372988 0.38791856
1.00000000 0.52380952 3.91682160 3.91682160 0.00000000
0.00000000 0.57142857 1.77079495 1.77079495 0.00000000
0.04761905 0.57142857 1.60801203 1.85712506 0.24911303
0.09523810 0.57142857 1.44034871 1.94745377 0.50710506
0.14285714 0.57142857 1.25810867 2.04173574 0.78362708
0.19047619 0.57142857 1.05013732 2.13989137 1.08975405
0.23809524 0.57142857 0.80315247 2.24180333 1.43865086
0.76190476 0.57142857 1.29406756 3.53152365 2.23745609
0.80952381 0.57142857 1.97250296 3.65241039 1.67990743
0.85714286 0.57142857 2.57102063 3.77124029 1.20021966
0.90476190 0.57142857 3.11385155 3.88726815 0.77341660
0.95238095 0.57142857 3.62069283 3.99972948 0.37903665
1.00000000 0.57142857 4.10784909 4.10784909 0.00000000
0.00000000 0.61904762 1.85715848 1.85715848 0.00000000
0.04761905 0.61904762 1.71161395 1.94769899 0.23608504
0.09523810 0.61904762 1.56459753 2.04243313 0.47783560
0.14285714 0.61904762 1.41220484 2.14131334 0.72910849
0.19047619 0.61904762 1.25770996 2.24425611 0.98654616
0.23809524 0.61904762 1.13153083 2.35113843 1.21960759
0.76190476 0.61904762 1.82703074 3.70375975 1.87672901
0.80952381 0.61904762 2.33232422 3.83054227 1.49821805
0.85714286 0.61904762 2.85436810 3.95516763 1.10079953
0.90476190 0.61904762 3.35760993 4.07685429 0.71924436
0.95238095 0.61904762 3.83998742 4.19480048 0.35481306
1.00000000 0.61904762 4.30819319 4.30819319 0.00000000
0.00000000 0.66666667 1.94773404 1.94773404 0.00000000
0.04761905 0.66666667 1.82530064 2.04269031 0.21738967
0.09523810 0.66666667 1.70300305 2.14204473 0.43904168
0.14285714 0.66666667 1.57732467 2.24574743 0.66842276
0.19047619 0.66666667 1.44599896 2.35371083 0.90771187
0.23809524 0.66666667 1.30421272 2.46580591 1.16159319
0.28571429 0.66666667 1.11106556 2.58185858 1.47079302
0.71428571 0.66666667 1.63573998 3.74995771 2.11421774
0.76190476 0.66666667 2.18506567 3.88439600 1.69933033
0.80952381 0.66666667 2.68192634 4.01736183 1.33543550
0.85714286 0.66666667 3.16254926 4.14806530 0.98551604
0.90476190 0.66666667 3.62773769 4.27568674 0.64794906
0.95238095 0.66666667 4.07841240 4.39938529 0.32097289
1.00000000 0.66666667 4.51830829 4.51830829 0.00000000
0.00000000 0.71428571 2.04272707 2.04272707 0.00000000
0.04761905 0.71428571 1.94788443 2.14231446 0.19443003
0.09523810 0.71428571 1.85399805 2.24651450 0.39251644
0.14285714 0.71428571 1.75744837 2.35527488 0.59782651
0.19047619 0.71428571 1.65422116 2.46850378 0.81428262
0.23809524 0.71428571 1.53780853 2.58606585 1.04825731
0.28571429 0.71428571 1.39553758 2.70777853 1.31224094
0.33333333 0.71428571 1.22902852 2.83340852 1.60438000
0.66666667 0.71428571 1.65540517 3.79109736 2.13569219
0.71428571 0.71428571 2.13204345 3.93284708 1.80080363
0.76190476 0.71428571 2.60290444 4.07384206 1.47093762
0.80952381 0.71428571 3.05461597 4.21329278 1.15867680
0.85714286 0.71428571 3.49249072 4.35037079 0.85788006
0.90476190 0.71428571 3.91815268 4.48421646 0.56606379
0.95238095 0.71428571 4.33281673 4.61394792 0.28113119
1.00000000 0.71428571 4.73867092 4.73867092 0.00000000
0.00000000 0.76190476 2.14235301 2.14235301 0.00000000
0.04761905 0.76190476 2.07898543 2.24679738 0.16781195
0.09523810 0.76190476 2.01731413 2.35607936 0.33876523
0.14285714 0.76190476 1.95406251 2.47014411 0.51608160
0.19047619 0.76190476 1.88556338 2.58889529 0.70333191
0.23809524 0.76190476 1.80728161 2.71219099 0.90490938
0.28571429 0.76190476 1.71430962 2.83983972 1.12553010
0.33333333 0.76190476 1.60715606 2.97159682 1.36444076
0.38095238 0.76190476 1.49332909 3.10716118 1.61383209
0.42857143 0.76190476 1.16999297 3.24617252 2.07617955
0.47619048 0.76190476 0.88147488 3.38820935 2.50673447
0.52380952 0.76190476 0.92558977 3.53278766 2.60719789
0.57142857 0.76190476 1.35120789 3.67936056 2.32815266
0.61904762 0.76190476 1.89070110 3.82731892 1.93661782
0.66666667 0.76190476 2.24610493 3.97599315 1.72988822
0.71428571 0.76190476 2.64229129 4.12465615 1.48236486
0.76190476 0.76190476 3.04758940 4.27252760 1.22493820
0.80952381 0.76190476 3.44832625 4.41877948 0.97045323
0.85714286 0.76190476 3.84127930 4.56254292 0.72126362
0.90476190 0.76190476 4.22562067 4.70291640 0.47729573
0.95238095 0.76190476 4.60148506 4.83897499 0.23748993
1.00000000 0.76190476 4.96978086 4.96978086 0.00000000
0.00000000 0.80952381 2.24683781 2.24683781 0.00000000
0.04761905 0.80952381 2.21832565 2.35637604 0.13805039
0.09523810 0.80952381 2.19233933 2.47098782 0.27864848
0.14285714 0.80952381 2.16621562 2.59061562 0.42440000
0.19047619 0.80952381 2.13710741 2.71515843 0.57805102
0.23809524 0.80952381 2.10195248 2.84446738 0.74251490
0.28571429 0.80952381 2.05781585 2.97834168 0.92052583
0.33333333 0.80952381 2.00250752 3.11652471 1.11401719
0.38095238 0.80952381 1.93049385 3.25870069 1.32820683
0.42857143 0.80952381 1.81406360 3.40449176 1.59042816
0.47619048 0.80952381 1.74573981 3.55345587 1.80771605
0.52380952 0.80952381 1.83888119 3.70508541 1.86620422
0.57142857 0.80952381 2.11177586 3.85880682 1.74703096
0.61904762 0.80952381 2.46771879 4.01398127 1.54626248
0.66666667 0.80952381 2.80503125 4.16990650 1.36487525
0.71428571 0.80952381 3.15199278 4.32581995 1.17382717
0.76190476 0.80952381 3.50490774 4.48090325 0.97599551
